date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:11	31981/31981	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:06%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.html	(from )
22:55:11	29/29	---M--	200	added ('OK')	text/plain	etag:%2298b3a8c6bcedc91:0%22	http://teacherweb.com/robots.txt		(from )
22:55:11	845/845	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202009%2004:08:03%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/__web.css	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/__web.css	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:12	1022/1022	---M--	200	added ('OK')	application/x-javascript	etag:%226ff1791c9c20d11:0%22	http://teacherweb.com/assets/js/googleanalytics.js	C:/My%20Web%20Sites/padilla/teacherweb.com/assets/js/googleanalytics.js	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:12	1947/1947	---M--	200	added ('OK')	image/gif	etag:%226081945ee181c11:0%22	http://teacherweb.com/images/twlogo2.gif	C:/My%20Web%20Sites/padilla/teacherweb.com/images/twlogo2.gif	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:13	11557/11557	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/index.html	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/index.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:13	8767/8767	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/t.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/t.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:14	12172/12172	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/table0.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/table0.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:14	10600/10600	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/list0.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/list0.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
22:55:14	25377/25377	---M--	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:10%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
